Pval,Mean1,Mean2,FC_Mean
RCOR1,0.00018444291052493,-0.01,0.002,-0.012
PPM1A,1.07304647536921e-10,-0.011,0.01,-0.022
BTRC,3.98144413670395e-12,-0.011,0.011,-0.021
SETD3,8.36012739775122e-05,-0.008,0.01,-0.017
ZNF619,1.26933156142363e-23,-0.021,0.01,-0.031
ZNF91,6.75751105356814e-15,-0.015,0.011,-0.026
PRKCZ,2.7594253534213e-18,-0.02,0.008,-0.028
ZNF214,0.84590137452578,0,-0.003,0.003
PRMT5,1.48297285267166e-12,-0.013,0.014,-0.027
UBE2V1,6.29915049047496e-42,-0.026,0.021,-0.047
KAT5,1.78932852110983e-37,-0.027,0.019,-0.047
ZNF696,6.54864441966842e-70,-0.044,0.029,-0.073
ZNF770,2.1216272406398e-11,-0.014,0.012,-0.026
IPPK,8.85179124914419e-07,-0.01,0.01,-0.021
ZNF805,1.819409386644e-08,-0.012,0.009,-0.02
SETD5,8.3417015387985e-33,-0.026,0.019,-0.045
NR2C2,1.30130551320594e-11,-0.015,0.013,-0.028
SMARCC2,1.35727659685243e-14,-0.021,0.01,-0.031
PDPK1,2.14496311544244e-52,-0.035,0.023,-0.058
LHX4,1.923767981369e-58,-0.033,0.028,-0.06
ZNF337,1.55426001292506e-59,-0.037,0.028,-0.065
TSSK4,7.83672563621395e-43,-0.028,0.023,-0.051
ZNF852,2.9883446325839e-16,-0.018,0.013,-0.031
ZNF423,4.68409962894381e-22,-0.027,0.012,-0.04
PEG3,1.11995989927991e-28,-0.028,0.015,-0.043
ZBTB47,0.00281934265719435,-0.014,-0.002,-0.011
PRDM16,6.46453607502135e-24,-0.029,0.014,-0.044
NRIP2,6.26101324414431e-46,-0.034,0.018,-0.053
TCEAL3,2.16813265749533e-18,-0.024,0.013,-0.037
SALL2,4.29962537203818e-70,-0.045,0.027,-0.073
ZNF7,8.85415706727164e-05,-0.007,0.009,-0.015
GLI4,3.8139772600851e-19,-0.023,0.016,-0.038
HDAC10,0.149858203259015,-0.004,0.002,-0.006
ZNF354B,1.08131217298699e-17,-0.018,0.014,-0.032
HSF4,2.05600409050444e-27,-0.027,0.014,-0.041
DMTF1,2.27032991263742e-10,-0.014,0.009,-0.023
ZNF789,2.92338073492975e-39,-0.033,0.019,-0.052
ZNF169,3.81580578164997e-22,-0.02,0.014,-0.034
TRIM52,4.70178054467524e-21,-0.024,0.014,-0.038
TCERG1,2.50091469081211e-05,-0.011,0.005,-0.016
APBB3,3.96161466697785e-07,-0.01,0.008,-0.017
PIDD1,3.58492085718839e-19,-0.022,0.011,-0.033
KAT2A,1.40404171315504e-30,-0.023,0.019,-0.042
ZNF133,1.81230721531681e-40,-0.037,0.016,-0.053
SS18L1,8.1369758855058e-34,-0.026,0.017,-0.042
L3MBTL1,3.24434836555721e-42,-0.03,0.024,-0.054
CCNT2,7.74619314959946e-31,-0.027,0.016,-0.043
NFKBIL1,2.13174122143131e-41,-0.037,0.019,-0.056
ING5,2.03935238127411e-57,-0.04,0.028,-0.067
CREB3L4,2.43079837843744e-14,-0.015,0.015,-0.029
EFCAB6,3.24739352740684e-68,-0.044,0.027,-0.071
NUFIP1,1.14191370226229e-38,-0.033,0.017,-0.051
SIRT5,4.46412070513584e-21,-0.022,0.011,-0.033
ALKBH4,7.07957522042104e-21,-0.025,0.015,-0.04
BOLA1,1.87375563017503e-06,-0.015,0.006,-0.02
HEXIM2,8.23803824570322e-31,-0.028,0.021,-0.049
ZNF3,1.18725984832175e-32,-0.027,0.022,-0.05
PYCARD,3.73841190494315e-83,0.037,-0.039,0.076
RHOG,3.10506984459294e-127,0.05,-0.048,0.098
CD38,6.28399519439084e-78,0.034,-0.036,0.071
LYL1,6.04132498290458e-65,0.028,-0.032,0.059
TRIM21,7.56237880550687e-67,0.034,-0.033,0.067
LMO2,1.87552326121697e-23,0.022,-0.017,0.039
SP140L,5.98785065378059e-30,0.021,-0.018,0.039
PRDM1,5.55011459009383e-78,0.04,-0.034,0.074
ZBED2,2.05430276471036e-30,0.021,-0.023,0.044
PRKCH,2.48161418598538e-18,0.016,-0.019,0.035
LEF1,5.39274056041322e-06,0.002,-0.015,0.017
BCL11B,0.000116207818389292,0.004,-0.013,0.017
NOTCH3,0.359601776581272,-0.01,-0.004,-0.006
TEAD2,1.69078858522379e-10,0.017,-0.009,0.026
RPS6KA1,3.73794693108462e-05,0.006,-0.013,0.019
TLR3,3.87124524206189e-21,0.022,-0.019,0.041
MECOM,6.64588344733334e-10,-0.022,0.006,-0.028
BCL6B,5.25193234159459e-12,0.009,-0.017,0.026
ENG,2.23052819250214e-24,0.019,-0.025,0.044
FOXS1,0.000819535577820927,0.006,-0.009,0.015
HTATIP2,0.009150676788896,-0.011,0.001,-0.011
CEBPA,0.678553536674199,0,-0.002,0.002
COMMD5,6.15955451003769e-18,0.017,-0.015,0.032
BCL2L12,2.11127615017388e-09,0.016,-0.009,0.025
STK3,4.67868666888714e-05,0.01,-0.002,0.012
MXD3,0.000375595043143986,-0.011,0.005,-0.016
PTTG1,0.00254950487198294,0.005,-0.006,0.01
SIRT7,0.79843930987826,-0.002,-0.001,-0.001
DDX58,3.88252082482911e-105,0.05,-0.043,0.093
PLSCR1,2.53677582287725e-51,0.034,-0.026,0.06
RPS6KA4,1.41892198650495e-34,0.023,-0.023,0.046
NMI,1.27749389674198e-77,0.04,-0.043,0.082
S100A9,1.40966901464846e-67,0.038,-0.041,0.078
S100A8,2.01811490922114e-68,0.036,-0.04,0.076
CEBPB,5.81595564632253e-62,0.037,-0.036,0.073
SLC11A1,1.04966807736392e-65,0.035,-0.036,0.071
OSM,1.4861121481752e-138,0.053,-0.047,0.1
TMIGD3,2.67077283183459e-142,0.06,-0.053,0.113
HMOX1,4.03787803876848e-68,0.038,-0.035,0.073
DAB2,3.91485422246799e-22,0.017,-0.021,0.039
CAVIN1,2.45339990226268e-12,0.014,-0.02,0.034
CAV1,2.18743022421677e-36,0.026,-0.032,0.058
VGLL3,2.27967537095367e-30,0.022,-0.021,0.044
SERPINE1,4.12111983903476e-35,0.026,-0.025,0.051
ACTN1,5.58476843285529e-25,0.02,-0.023,0.043
GAS7,1.90839032255116e-24,0.019,-0.025,0.045
TGFB2,0.0871175124102753,0.005,-0.004,0.009
LUM,4.64578192183921e-29,0.025,-0.026,0.052
DCN,2.75493788947025e-32,0.025,-0.029,0.055
COL1A1,1.7991966262506e-25,0.022,-0.025,0.047
CYP1B1,1.802103210739e-48,0.028,-0.033,0.061
TNFRSF4,4.912450124745e-121,0.051,-0.04,0.091
APOE,7.12104236215371e-125,0.053,-0.045,0.098
LPXN,3.26327603922605e-182,0.068,-0.062,0.13
NLRC4,2.37965446239162e-125,0.055,-0.043,0.098
FOXP3,5.44022471496649e-187,0.073,-0.058,0.131
NFAM1,3.38626548040147e-136,0.057,-0.049,0.106
NLRP3,4.76334068636002e-124,0.055,-0.05,0.105
HAMP,3.81868366389005e-105,0.05,-0.04,0.091
ZMYND15,9.28105370886902e-77,0.041,-0.034,0.075
FLI1,3.9099214530743e-102,0.045,-0.047,0.092
PRKCB,6.37015639221665e-116,0.054,-0.043,0.097
PARP15,2.85913464052204e-133,0.051,-0.048,0.098
NLRC3,7.80906551228755e-130,0.055,-0.045,0.1
POU2AF1,2.63639868068058e-150,0.062,-0.059,0.122
PIM2,2.1395531026351e-126,0.054,-0.049,0.103
AKNA,1.54710108788709e-99,0.049,-0.045,0.093
CD40LG,6.7064107664725e-143,0.061,-0.056,0.118
ZNF831,2.96822401435502e-142,0.056,-0.054,0.111
HCLS1,7.32323889981377e-134,0.048,-0.05,0.097
KLHL6,3.71983669115627e-161,0.064,-0.058,0.122
LGALS9,6.61043407882246e-151,0.063,-0.057,0.12
CD4,5.41099421122385e-183,0.069,-0.063,0.132
ITGB2,1.86858291541057e-173,0.072,-0.061,0.133
TNFSF8,5.06850761914298e-176,0.068,-0.064,0.132
IKZF1,5.42461920590103e-183,0.072,-0.067,0.138
IL16,2.22377973041977e-148,0.059,-0.06,0.119
CD28,1.49653477823276e-165,0.066,-0.062,0.127
CD3D,3.15996374081027e-206,0.071,-0.067,0.139
PYHIN1,9.21734928760465e-223,0.084,-0.076,0.16
FASLG,1.44227679901715e-203,0.077,-0.061,0.138
RHOH,1.28318075904603e-214,0.08,-0.072,0.151
SLA2,3.01928961598453e-250,0.095,-0.087,0.181
IKZF3,1.82517217914268e-212,0.08,-0.071,0.152
BATF,4.47620371161654e-159,0.066,-0.059,0.125
CD74,3.6714429342889e-160,0.073,-0.059,0.131
CIITA,5.57309671381969e-145,0.065,-0.051,0.116
TRIM22,1.72554134543924e-142,0.065,-0.052,0.117
TLR2,2.07335613634051e-94,0.054,-0.045,0.099
PARP14,5.71249816909901e-138,0.057,-0.042,0.099
SP100,9.9938831877481e-111,0.055,-0.045,0.1
NLRC5,1.08339844043897e-182,0.073,-0.052,0.125
STAT1,4.57888160649282e-175,0.07,-0.049,0.118
IRF1,1.31121629082324e-214,0.079,-0.063,0.143
CXCL10,2.09813719257734e-259,0.091,-0.072,0.163
TBX21,2.04789988425786e-245,0.087,-0.072,0.16
PTAFR,2.33887921528734e-163,0.068,-0.054,0.122
MNDA,2.0924893969933e-173,0.072,-0.059,0.13
CMKLR1,2.03803728672466e-185,0.069,-0.063,0.132
TFEC,4.54714213086394e-202,0.077,-0.062,0.139
LILRB4,5.54113800920652e-228,0.08,-0.062,0.142
NCF1,5.22391871591666e-240,0.085,-0.071,0.155
BTK,8.96221430392592e-201,0.079,-0.066,0.144
SP140,4.59328125133419e-237,0.089,-0.075,0.164
PLEK,5.72078402683568e-192,0.07,-0.063,0.134
SPI1,1.10347364476731e-173,0.067,-0.055,0.123
HAVCR2,1.99723089258321e-222,0.074,-0.062,0.136
CD86,3.30108940601282e-194,0.071,-0.06,0.131
IFI16,5.25162899975951e-86,0.049,-0.043,0.092
MSC,5.49433216394937e-112,0.055,-0.043,0.099
RELB,5.09147063560536e-119,0.052,-0.044,0.096
NFKB2,1.8746076586552e-118,0.053,-0.041,0.095
TLR6,4.4168123764612e-99,0.051,-0.036,0.087
BCL3,2.01773452661136e-72,0.038,-0.031,0.07
STAT4,6.05250723111166e-136,0.053,-0.044,0.097
ADAM8,2.04399277324474e-93,0.057,-0.037,0.094
ICAM1,2.49406088641245e-105,0.055,-0.043,0.098
PLK3,1.22002235690825e-65,0.033,-0.037,0.071
PHF11,4.13377266749917e-47,0.027,-0.027,0.054
PARP10,3.92504703363981e-52,0.025,-0.026,0.051
PSME1,5.66668890582929e-76,0.034,-0.033,0.067
PSME2,1.96132884834267e-154,0.056,-0.043,0.1
IRF3,2.55214054560306e-31,0.019,-0.021,0.04
TMSB4X,1.30887745047632e-48,0.027,-0.03,0.058
PSMB9,2.01869756737636e-195,0.07,-0.06,0.13
PSMB8,5.59168336121078e-161,0.055,-0.051,0.106
PSMB10,2.40107560590299e-156,0.064,-0.054,0.117
CARD16,3.36666393213642e-163,0.058,-0.05,0.108
ETV7,1.72554134543924e-142,0.057,-0.041,0.098
BATF2,1.31531050546897e-119,0.059,-0.044,0.103
SP110,4.92686047603665e-115,0.053,-0.043,0.097
IRF7,8.54790949960488e-115,0.052,-0.04,0.092
PARP9,1.40686809670338e-125,0.059,-0.041,0.1
DTX3L,4.10820847678106e-113,0.053,-0.04,0.093
EIF2AK2,3.18179884944527e-25,0.023,-0.013,0.036
HELZ2,6.49023715940293e-43,0.034,-0.021,0.055
STAT2,1.20994386396319e-97,0.047,-0.039,0.086
IRF9,3.7419898433306e-70,0.038,-0.026,0.064
FOXM1,0.00278064066774352,-0.009,0.004,-0.013
PLK1,0.142450147457807,0,-0.005,0.006
DEPDC1,0.558964116831133,-0.001,-0.004,0.004
RRM2,0.000114379527026426,0.006,-0.012,0.018
BIRC5,0.00187085022044636,0.005,-0.009,0.014
AURKB,0.000405001296808243,0.007,-0.01,0.017
CCNA2,1.57946893998877e-07,0.012,-0.012,0.024
CDC6,0.700640560996662,-0.002,-0.001,-0.001
E2F7,0.0651388660822939,-0.009,-0.001,-0.007
CENPF,0.0609412254724756,-0.004,0.004,-0.008
MYBL2,2.75173612182074e-05,0.012,-0.008,0.02
E2F1,0.055151253353243,-0.005,0.002,-0.007
ASF1B,0.00325979999823571,0.008,-0.006,0.014
CDC45,9.53087920545697e-10,0.017,-0.012,0.029
DLGAP5,5.97197387175504e-11,0.018,-0.013,0.031
ORC1,0.00031245839263336,0.008,-0.009,0.016
TRIP13,0.000945745706904631,0.011,-0.005,0.015
